This file contains the actual data for your assignment - good luck!
Name	Comments
Petra	100
Tasneem	96
Jordyn	95
Georgy	92
Flynn	90
Teejay	89
Gioia	84
Anndra	83
Cruiz	81
Eshaal	80
Mathuyan	76
Nikash	72
Adrienne	65
Dawid	65
Leni	64
Clara	57
Alasdair	55
Atiya	54
Malisa	52
Laiyah	52
Shahmir	51
Karis	50
Ericlee	48
Maci	47
Faria	45
Daniel	42
Annaliesse	42
Roxabella	42
Calypso	41
Francesco	37
Forbes	36
Raniyah	36
Sharon	33
Keetza	30
Nnenda	28
Katelyn	26
Wayde	24
Nawfal	22
Juan	22
Bonnie	21
Mohamad	21
Abaigeal	21
William	18
Rhea	12
Cherise	8
Kadyn	7
Sidney	7
Rhona	7
Diego	6
Shaun	1
